Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-2B,IS 201,IS 201_LEC_IS-2B,Monday,10:30,11:30,LEC-004,TBA
IS-2B,IS 201,IS 201_LEC_IS-2B,Friday,11:30,13:30,LAB-002,TBA
IS-2B,IS 201,IS 201_LAB_IS-2B,Thursday,10:30,14:30,LAB-005,TBA
IS-2B,IS 202,IS 202_LEC_IS-2B,Wednesday,15:00,16:00,LAB-002,TBA
IS-2B,IS 202,IS 202_LEC_IS-2B,Thursday,08:00,09:00,LEC-003,TBA
IS-2B,IS 202,IS 202_LAB_IS-2B,Monday,14:00,17:00,LAB-003,TBA
IS-2B,IS 203,IS 203_LEC_IS-2B,Tuesday,14:30,15:30,LEC-006,TBA
IS-2B,IS 203,IS 203_LEC_IS-2B,Friday,10:00,11:00,LAB-003,TBA
IS-2B,IS 203,IS 203_LEC_IS-2B,Wednesday,16:00,17:00,LAB-010,TBA
IS-2B,GEC 6,GEC 6_LEC_IS-2B,Tuesday,10:00,11:00,LEC-007,TBA
IS-2B,GEC 6,GEC 6_LEC_IS-2B,Friday,14:00,15:00,LEC-007,TBA
IS-2B,GEC 6,GEC 6_LEC_IS-2B,Tuesday,13:30,14:30,LEC-010,TBA
IS-2B,GE Elec 2,GE Elec 2_LEC_IS-2B,Thursday,09:30,10:30,LEC-004,TBA
IS-2B,GE Elec 2,GE Elec 2_LEC_IS-2B,Monday,08:00,09:00,LEC-008,TBA
IS-2B,GE Elec 2,GE Elec 2_LEC_IS-2B,Monday,09:00,10:00,LEC-008,TBA
IS-2B,PathFit 3,PathFit 3_LEC_IS-2B,Tuesday,11:00,12:00,LEC-008,TBA
IS-2B,PathFit 3,PathFit 3_LEC_IS-2B,Thursday,14:30,15:30,LEC-001,TBA
