Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-1A,IS 100,IS 100_LEC_IS-1A,Monday,08:00,09:00,LAB-005,TBA
IS-1A,IS 100,IS 100_LEC_IS-1A,Tuesday,16:00,17:00,LAB-007,TBA
IS-1A,IS 100,IS 100_LAB_IS-1A,Wednesday,09:00,12:00,LAB-001,TBA
IS-1A,IS 101,IS 101_LEC_IS-1A,Friday,16:00,17:00,LAB-008,TBA
IS-1A,IS 101,IS 101_LEC_IS-1A,Thursday,16:00,17:00,LEC-003,TBA
IS-1A,IS 101,IS 101_LEC_IS-1A,Friday,14:30,15:30,LEC-006,TBA
IS-1A,GEC 1,GEC 1_LEC_IS-1A,Thursday,09:00,10:00,LEC-007,TBA
IS-1A,GEC 1,GEC 1_LEC_IS-1A,Thursday,08:00,09:00,LEC-010,TBA
IS-1A,GEC 1,GEC 1_LEC_IS-1A,Thursday,15:00,16:00,LEC-010,TBA
IS-1A,GEC 2,GEC 2_LEC_IS-1A,Monday,11:30,13:30,LAB-003,TBA
IS-1A,GEC 2,GEC 2_LEC_IS-1A,Thursday,13:30,14:30,LEC-004,TBA
IS-1A,GEC 2,GEC 2_LEC_IS-1A,Wednesday,13:00,14:00,LEC-003,TBA
IS-1A,GEC 3,GEC 3_LEC_IS-1A,Thursday,10:30,11:30,LAB-009,TBA
IS-1A,GEC 3,GEC 3_LEC_IS-1A,Monday,09:30,10:30,LAB-007,TBA
IS-1A,GEC 3,GEC 3_LEC_IS-1A,Wednesday,15:00,16:00,LEC-005,TBA
IS-1A,PathFit 1,PathFit 1_LEC_IS-1A,Friday,11:00,12:00,LEC-003,TBA
IS-1A,PathFit 1,PathFit 1_LEC_IS-1A,Thursday,11:30,13:30,LEC-010,TBA
IS-1A,NSTP 1,NSTP 1_LEC_IS-1A,Friday,09:30,10:30,LEC-001,TBA
IS-1A,NSTP 1,NSTP 1_LEC_IS-1A,Tuesday,09:00,10:00,LEC-007,TBA
IS-1A,NSTP 1,NSTP 1_LEC_IS-1A,Tuesday,14:30,15:30,LAB-002,TBA
