Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-4A,IS 401,IS 401_LEC_IS-4A,Wednesday,16:00,17:00,LAB-003,TBA
IS-4A,IS 401,IS 401_LEC_IS-4A,Thursday,09:30,10:30,LAB-007,TBA
IS-4A,IS 401,IS 401_LAB_IS-4A,Thursday,13:00,16:00,LAB-006,TBA
IS-4A,IS 402,IS 402_LEC_IS-4A,Tuesday,08:00,09:00,LAB-009,TBA
IS-4A,IS 402,IS 402_LEC_IS-4A,Monday,13:00,14:00,LAB-004,TBA
IS-4A,IS 402,IS 402_LEC_IS-4A,Monday,14:30,15:30,LAB-006,TBA
IS-4A,IS 403,IS 403_LEC_IS-4A,Friday,09:00,10:00,LEC-006,TBA
IS-4A,IS 403,IS 403_LEC_IS-4A,Monday,08:00,09:00,LAB-010,TBA
IS-4A,IS 403,IS 403_LEC_IS-4A,Wednesday,11:30,13:30,LEC-001,TBA
IS-4A,ISELECT 004,ISELECT 004_LEC_IS-4A,Tuesday,13:30,14:30,LAB-006,TBA
IS-4A,ISELECT 004,ISELECT 004_LEC_IS-4A,Friday,16:00,17:00,LAB-002,TBA
IS-4A,ISELECT 004,ISELECT 004_LAB_IS-4A,Friday,13:00,16:00,LAB-003,TBA
