Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-1C,IT 100,IT 100_LEC_IT-1C,Wednesday,11:00,12:00,LEC-006,TBA
IT-1C,IT 100,IT 100_LEC_IT-1C,Thursday,10:30,11:30,LEC-001,TBA
IT-1C,IT 100,IT 100_LAB_IT-1C,Monday,13:00,16:00,LAB-004,TBA
IT-1C,IT 101,IT 101_LEC_IT-1C,Monday,10:00,11:00,LEC-007,TBA
IT-1C,IT 101,IT 101_LEC_IT-1C,Tuesday,10:00,11:00,LEC-006,TBA
IT-1C,IT 101,IT 101_LAB_IT-1C,Wednesday,14:00,17:00,LAB-005,TBA
IT-1C,GEC 1,GEC 1_LEC_IT-1C,Friday,10:00,11:00,LAB-002,TBA
IT-1C,GEC 1,GEC 1_LEC_IT-1C,Tuesday,11:00,12:00,LEC-003,TBA
IT-1C,GEC 1,GEC 1_LEC_IT-1C,Thursday,08:00,09:00,LEC-004,TBA
IT-1C,GEC 2,GEC 2_LEC_IT-1C,Monday,11:00,12:00,LAB-003,TBA
IT-1C,GEC 2,GEC 2_LEC_IT-1C,Tuesday,14:00,15:00,LEC-001,TBA
IT-1C,GEC 2,GEC 2_LEC_IT-1C,Friday,13:00,14:00,LEC-010,TBA
IT-1C,GEC 3,GEC 3_LEC_IT-1C,Tuesday,16:00,17:00,LAB-005,TBA
IT-1C,GEC 3,GEC 3_LEC_IT-1C,Friday,16:00,17:00,LAB-006,TBA
IT-1C,GEC 3,GEC 3_LEC_IT-1C,Thursday,13:00,14:00,LEC-001,TBA
IT-1C,PathFit 1,PathFit 1_LEC_IT-1C,Wednesday,09:00,10:00,LEC-002,TBA
IT-1C,PathFit 1,PathFit 1_LEC_IT-1C,Thursday,14:00,15:00,LEC-008,TBA
IT-1C,NSTP 1,NSTP 1_LEC_IT-1C,Monday,08:00,09:00,LEC-002,TBA
IT-1C,NSTP 1,NSTP 1_LEC_IT-1C,Monday,16:00,17:00,LEC-002,TBA
IT-1C,NSTP 1,NSTP 1_LEC_IT-1C,Friday,14:00,15:00,LEC-001,TBA
