Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-2A,IS 201,IS 201_LEC_IS-2A,Monday,11:00,12:00,LEC-002,TBA
IS-2A,IS 201,IS 201_LEC_IS-2A,Thursday,16:00,17:00,LEC-003,TBA
IS-2A,IS 201,IS 201_LAB_IS-2A,Monday,08:00,11:00,LAB-003,TBA
IS-2A,IS 202,IS 202_LEC_IS-2A,Wednesday,08:30,09:30,LEC-006,TBA
IS-2A,IS 202,IS 202_LEC_IS-2A,Wednesday,15:00,16:00,LEC-003,TBA
IS-2A,IS 202,IS 202_LAB_IS-2A,Friday,13:00,16:00,LAB-006,TBA
IS-2A,IS 203,IS 203_LEC_IS-2A,Friday,09:00,10:00,LEC-006,TBA
IS-2A,IS 203,IS 203_LEC_IS-2A,Wednesday,14:00,15:00,LEC-008,TBA
IS-2A,IS 203,IS 203_LEC_IS-2A,Monday,14:00,15:00,LEC-003,TBA
IS-2A,GEC 6,GEC 6_LEC_IS-2A,Monday,16:00,17:00,LEC-005,TBA
IS-2A,GEC 6,GEC 6_LEC_IS-2A,Wednesday,10:30,11:30,LEC-010,TBA
IS-2A,GEC 6,GEC 6_LEC_IS-2A,Monday,13:00,14:00,LAB-006,TBA
IS-2A,GE Elec 2,GE Elec 2_LEC_IS-2A,Tuesday,16:00,17:00,LAB-003,TBA
IS-2A,GE Elec 2,GE Elec 2_LEC_IS-2A,Thursday,11:00,12:00,LEC-009,TBA
IS-2A,GE Elec 2,GE Elec 2_LEC_IS-2A,Tuesday,13:00,14:00,LEC-010,TBA
IS-2A,PathFit 3,PathFit 3_LEC_IS-2A,Tuesday,14:00,15:00,LAB-004,TBA
IS-2A,PathFit 3,PathFit 3_LEC_IS-2A,Friday,08:00,09:00,LEC-007,TBA
