Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 301,Project Management and Quality Assurance,09:30-11:00,T,NB-101,2,1,3,5,4.25,TBA,IS-3A
IS 301,Project Management and Quality Assurance,09:30-11:00,W,NB-101,2,1,3,5,4.25,TBA,IS-3A
IS 302,"IS Strategy, Management and Acquisition",08:00-09:30,TH,AB-201,3,0,3,3,3.0,TBA,IS-3A
IS 302,"IS Strategy, Management and Acquisition",08:00-09:30,T,AB-201,3,0,3,3,3.0,TBA,IS-3A
IS 303,Enterprise Resource Planning Systems,08:00-09:30,W,NB-203,2,1,3,5,4.25,TBA,IS-3A
IS 303,Enterprise Resource Planning Systems,08:00-09:30,M,NB-203,2,1,3,5,4.25,TBA,IS-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,14:30-16:00,T,AB-101,3,0,3,3,3.0,TBA,IS-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,14:30-16:00,W,AB-101,3,0,3,3,3.0,TBA,IS-3A
ISELECT 001,IS Elective 1 (Analytics),10:00-11:00,TH,NB-201,2,1,3,5,4.25,TBA,IS-3A
ISELECT 001,IS Elective 1 (Analytics),10:00-11:00,F,NB-201,2,1,3,5,4.25,TBA,IS-3A
